MSH	MSH.Top	Disease	Indication	Category
"charcot-marie-tooth disease, type 1f"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 1F,  "		
"charcot-marie-tooth disease, type 2b"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 2B,  "		
"charcot-marie-tooth disease, type 2b1"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 2B1,  "		
"charcot-marie-tooth disease, type 2b2"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 2B2,  "		
"charcot-marie-tooth disease, type 2d"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 2D,  "		
"charcot-marie-tooth disease, type 2e"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 2E,  "		
"charcot-marie-tooth disease, type 2f"	Nervous System Diseases	"Charcot-Marie-Tooth disease, axonal, type 2F,  "		
"charcot-marie-tooth disease, type 2i"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 2I,  "		
"charcot-marie-tooth disease, type 2j"	Otorhinolaryngologic Diseases	"Charcot-Marie-Tooth disease, type 2J,  "		
"charcot-marie-tooth disease, type 2k"	Nervous System Diseases	"Charcot-Marie-Tooth disease, axonal, type 2K,  "		
"charcot-marie-tooth disease, type 4a"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 4A,  "		
"charcot-marie-tooth disease, type 4b1"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 4B1,  "		
"charcot-marie-tooth disease, type 4b2"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 4B2,  "		
"charcot-marie-tooth disease, type 4c"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 4C,  "		
"charcot-marie-tooth disease, type 4e"	Nervous System Diseases	"Neuropathy, congenital hypomyelinating,  "		
"charcot-marie-tooth disease, type 4h"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 4H,  "		
"charcot-marie-tooth disease, type 4j"	Nervous System Diseases	"Charcot-Marie-Tooth disease, type 4J,  "		
"charcot-marie-tooth disease, x-linked, 1"	Nervous System Diseases	"Charcot-Marie-Tooth neuropathy, X-linked dominant, 1,  "		
chediak-higashi syndrome	Hemic and Lymphatic Diseases	"Chediak-Higashi syndrome,  "		Blood
chemokines		Plasma chemerin levels		
cherubism	Musculoskeletal Diseases	"Cherubism,  "		
chilblain lupus	Skin and Connective Tissue Diseases	"Chilblain lupus,  "		
"cholangitis, sclerosing"		"lupus erythematosus; rheumatoid arthritis; cholangitis, sclerosing; celiac disease; juvenile arthrit"		Liver & kidney
"cholestasis, intrahepatic of pregnancy"	Digestive System Diseases	"Cholestasis, intrahepatic, of pregnancy, 1,  "		Digestive system
"cholestasis, progressive familial intrahepatic 1"	Digestive System Diseases	"Cholestasis, progressive familial intrahepatic 1,  "		Digestive system
"cholestasis, progressive familial intrahepatic 2"	Digestive System Diseases	"Cholestasis, progressive familial intrahepatic 2,  "		Digestive system
"cholestasis, progressive familial intrahepatic 3"	Digestive System Diseases	"Cholestasis, progressive familial intrahepatic 3,  "		Digestive system
cholesterol		Cholesterol		Cardiovascular
"cholesterol, hdl"		Body mass index and cholesterol (psychopharmacological treatment)		Cardiovascular
"cholesterol, ldl"		LDL cholesterol		Cardiovascular
cholinesterases		Serum butyrylcholinesterase		Neurological/behavioral
chondrocalcinosis 2	Musculoskeletal Diseases	"Chondrocalcinosis 2,  "		
"chondrodysplasia punctata 2, x-linked dominant"	Musculoskeletal Diseases	"Chondrodysplasia punctata, X-linked dominant,  "		
"chondrodysplasia punctata, brachytelephalangic"	Musculoskeletal Diseases	"Chondrodysplasia punctata, X-linked recessive,  "		
"chondrodysplasia, acromesomelic, with genital anomalies"	Musculoskeletal Diseases	"Chrondrodysplasia, acromesomelic, with genital anomalies,  "		
"chondrodysplasia, blomstrand type"	Neoplasms	"Chondrodysplasia, Blomstrand type,  "		
"chondrodysplasia, grebe type"	Musculoskeletal Diseases	"Chondrodysplasia, Grebe type,  "		
chondrosarcoma	Neoplasms	"Chondrosarcoma,  "		
"chondrosarcoma, extraskeletal myxoid"	Neoplasms	"Chondrosarcoma, extraskeletal myxoid,  "		
chorea	Nervous System Diseases	"Chorea, hereditary benign,  "		
"choreoathetosis, hypothyroidism, and neonatal respiratory distress"	Musculoskeletal Diseases	"Choreoathetosis, hypothyroidism, and neonatal respiratory distress,  "		
"choreoathetosis/spasticity, episodic"	Musculoskeletal Diseases	"Dystonia 9,  "		
"choroidal dystrophy, central areolar 2"	Eye Diseases	"Choriodal dystrophy, central areolar 2,  "		Eye
choroideremia	Eye Diseases	"Choroideremia,  "		Eye
chronic periodontitis		Periodontal microbiota		
chudley-mccullough syndrome	Neoplasms	"Chudley-McCullough syndrome,  "		
chylomicron retention disease	Digestive System Diseases	"Chylomicron retention disease,  "		Digestive system
"ciliary dyskinesia, primary, 10"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 10,  "		
"ciliary dyskinesia, primary, 11"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 11,  "		
"ciliary dyskinesia, primary, 12"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 12,  "		
"ciliary dyskinesia, primary, 13"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 13,  "		
"ciliary dyskinesia, primary, 5"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 5,  "		
"ciliary dyskinesia, primary, 6"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 6,  "		
"ciliary dyskinesia, primary, 7"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 7, with or without situs inversus,  "		
"ciliary dyskinesia, primary, 9"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 9, with or without situs inversus,  "		
"cirrhosis, familial"	Digestive System Diseases	"{Cirrhosis, noncryptogenic, susceptibility to},  "		Digestive system
citalopram		Response to citalopram treatment		Neurological/behavioral
citrullinemia	Nervous System Diseases	"Citrullinemia,  "		
cleft lip		%610361 OROFACIAL CLEFT 9		Miscellaneous
cleft palate		Cleft Lip|Cleft Palate|		
cleft palate x-linked	Musculoskeletal Diseases	"Cleft palate with ankyloglossia,  "		
"cleft palate, isolated, and mental retardation"	Musculoskeletal Diseases	"Cleft palate and mental retardation,  "		
cleidocranial dysplasia	Musculoskeletal Diseases	"Cleidocranial dysplasia, forme fruste, with brachydactyly,  "		
clubfoot	Musculoskeletal Diseases	"Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly,  "		
coach syndrome	Digestive System Diseases	"COACH syndrome,  "		Digestive system
cobblestone lissencephaly		Cortical thickness		Neurological/behavioral
cockayne syndrome	Musculoskeletal Diseases	"Cockayne syndrome, type A,  "		
coffee		Coffee consumption		Neurological/behavioral
coffin-lowry syndrome	Nervous System Diseases	"Coffin-Lowry syndrome,  "		
cognition		cognitive trait		
cognition disorders		Information processing speed		
cohen syndrome	Musculoskeletal Diseases	"Cohen syndrome,  "		
cold-induced sweating syndrome 1	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Cold-induced sweating syndrome 1,  "		
coloboma	Eye Diseases	"Coloboma, ocular,  "		Eye
coloboma of optic nerve	Eye Diseases	"Morning glory disc anomaly,  "		Eye
"colorectal adenomatous polyposis, autosomal recessive"	Neoplasms	"Adenomas, multiple colorectal,  "		
"colorectal cancer, hereditary nonpolyposis, type 8"	Neoplasms	"Colorectal cancer, hereditary nonpolyposis, type 8,  "		
combined cellular and humoral immune defects with granulomas	Hemic and Lymphatic Diseases	"Combined cellular and humoral immune defects with granulomas,  "		Blood
combined oxidative phosphorylation deficiency 1	Digestive System Diseases	"Combined oxidative phosphorylation deficiency 1,  "		Digestive system
combined oxidative phosphorylation deficiency 2	Musculoskeletal Diseases	"Combined oxidative phosphorylation deficiency 2,  "		
combined oxidative phosphorylation deficiency 3	Musculoskeletal Diseases	"Combined oxidative phosphorylation deficiency 3,  "		
combined oxidative phosphorylation deficiency 4	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Combined oxidative phosphorylation deficiency 4,  "		
combined oxidative phosphorylation deficiency 5	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Combined oxidative phosphorylation deficiency 5,  "		
combined saposin deficiency	Nervous System Diseases	"Combined SAP deficiency,  "		
common variable immunodeficiency		Common variable immunodeficiency		Infection
complement c4b-binding protein		Plasma C4b binding protein levels		Blood
complement c5		+120900 COMPLEMENT COMPONENT 5; C5		
"complement component 4, partial deficiency of"	Immune System Diseases	"Complement component 4, partial deficiency of,  "		
complement component 5 deficiency	Immune System Diseases	"C5 deficiency,  "		
complement component 6 deficiency	Immune System Diseases	"C6 deficiency,  "		
complement component 7 deficiency	Immune System Diseases	"C7 deficiency,  "		
complement factor h		*134370 COMPLEMENT FACTOR H; CFH		
complement factor h deficiency	Male Urogenital Diseases	"Complement factor H deficiency,  "		
complement factor i deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Complement factor I deficiency,  "		
complement system proteins		Complement C3 and C4 levels		Autoimmune
cone dystrophy 3	Eye Diseases	"Cone-rod dystrophy 14,  "		Eye
cone dystrophy 4	Eye Diseases	"Cone dystrophy 4,  "		Eye
cone-rod dystrophy 10	Eye Diseases	"Cone-rod dystrophy 10,  "		Eye
cone-rod dystrophy 11	Eye Diseases	"Cone-rod dystrophy 11,  "		Eye
cone-rod dystrophy 12	Eye Diseases	"Cone-rod dystrophy 12,  "		Eye
cone-rod dystrophy 13	Eye Diseases	"Cone-rod dystrophy 13,  "		Eye
cone-rod dystrophy 3	Eye Diseases	"Cone-rod dystrophy 3,  "		Eye
cone-rod dystrophy 5	Eye Diseases	"Cone-rod dystrophy 5,  "		Eye
cone-rod dystrophy 7	Eye Diseases	"Cone-rod dystrophy 7,  "		Eye
"cone-rod dystrophy, x-linked, 3"	Eye Diseases	"Cone-rod dystropy, X-linked, 3,  "		Eye
congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency	Male Urogenital Diseases	"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency,  "		
congenital adrenal hyperplasia due to 21 hydroxylase deficiency	Male Urogenital Diseases	"Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency,  "		
congenital amegakaryocytic thrombocytopenia	Hemic and Lymphatic Diseases	"Thrombocytopenia, congenital amegakaryocytic,  "		Blood
congenital atransferrinemia	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Atransferrinemia,  "		
congenital bilateral aplasia of vas deferens	Male Urogenital Diseases	"Congenital bilateral absence of vas deferens,  "		
"congenital cataracts, facial dysmorphism, and neuropathy"	Musculoskeletal Diseases	"Congenital cataracts, facial dysmorphism, and neuropathy,  "		
congenital central hypoventilation syndrome	Respiratory Tract Diseases	"Central hypoventilation syndrome,  "		
congenital chloride diarrhea	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Chloride diarrhea, congenital, Finnish type,  "		
congenital contractural arachnodactyly	Musculoskeletal Diseases	"Contractural arachnodactyly, congenital,  "		
congenital disorder of glycosylation type 1a	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Ia,  "		
congenital disorder of glycosylation type 1b	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Ib,  "		
congenital disorder of glycosylation type 1c	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Ic,  "		
congenital disorder of glycosylation type 1d	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Id,  "		
congenital disorder of glycosylation type 1e	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Ie,  "		
congenital disorder of glycosylation type 1f	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type If,  "		
congenital disorder of glycosylation type 1g	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Ig,  "		
congenital disorder of glycosylation type 1h	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Ih,  "		
congenital disorder of glycosylation type 1i	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Ii,  "		
congenital disorder of glycosylation type 1j	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Ij,  "		
congenital disorder of glycosylation type 1k	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Ik,  "		
congenital disorder of glycosylation type 1l	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Il,  "		
congenital disorder of glycosylation type 2a	Musculoskeletal Diseases	"Congenital disorder of glycosylation, type IIa,  "		
congenital disorder of glycosylation type 2d	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type IId,  "		
congenital disorder of glycosylation type 2e	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type IIe,  "		
"congenital disorder of glycosylation, type 2c"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type IIc,  "		
"congenital disorder of glycosylation, type 2g"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type IIg,  "		
"congenital disorder of glycosylation, type iib"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type IIb,  "		
"congenital disorder of glycosylation, type iif"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type IIf,  "		
"congenital disorder of glycosylation, type iih"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type IIh,  "		
"congenital disorder of glycosylation, type im"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Im,  "		
"congenital disorder of glycosylation, type in"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type In,  "		
"congenital disorder of glycosylation, type io"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Congenital disorder of glycosylation, type Io,  "		
congenital hemidysplasia with ichthyosiform erythroderma and limb defects	Musculoskeletal Diseases	"CHILD syndrome,  "		
congenital idiopathic intestinal pseudoobstruction	Digestive System Diseases	"Intestinal pseudoobstruction, neuronal,  "		Digestive system
congenital myasthenic syndrome ib	Nervous System Diseases	"Myasthenia, limb-girdle, familial,  "		
congenital myasthenic syndrome with episodic apnea	Respiratory Tract Diseases	"Myasthenic syndrome, congenital, associated with episodic apnea,  "		
"congenital thrombotic disease, due to protein c deficiency"	Hemic and Lymphatic Diseases	"Thrombophilia due to protein C deficiency, autosomal dominant,  "		Blood
"coproporphyria, hereditary"	Digestive System Diseases	"Harderoporphyria,  "		Digestive system
cornea		Corneal structure		Eye
cornea plana 2	Eye Diseases	"Cornea plana congenita, recessive,  "		Eye
corneal dystrophy and perceptive deafness	Otorhinolaryngologic Diseases	"Corneal endothelial dystrophy and perceptive deafness,  "		
corneal dystrophy avellino type	Eye Diseases	"Corneal dystrophy, Avellino type,  "		Eye
"corneal dystrophy of bowman layer, type 1"	Eye Diseases	"Corneal dystrophy, Reis-Bucklers type,  "		Eye
"corneal dystrophy, congenital stromal"	Eye Diseases	"Corneal dystrophy, congenital stromal,  "		Eye
"corneal dystrophy, crystalline, of schnyder"	Eye Diseases	"Corneal dystrophy, Schnyder type,  "		Eye
"corneal dystrophy, epithelial basement membrane"	Nervous System Diseases	"Corneal dystrophy, epithelial basement membrane,  "		
"corneal dystrophy, fleck"	Eye Diseases	"Corneal fleck dystrophy,  "		Eye
"corneal dystrophy, fuchs' endothelial, 1"	Eye Diseases	"Corneal dystrophy, Fuchs endothelial, 1,  "		Eye
"corneal dystrophy, fuchs endothelial, 4"	Eye Diseases	"Corneal dystrophy, Fuchs endothelial, 4,  "		Eye
"corneal dystrophy, fuchs endothelial, 6"	Eye Diseases	"Corneal dystrophy, Fuchs endothelial, 6,  "		Eye
"corneal dystrophy, gelatinous drop-like"	Eye Diseases	"Corneal dystrophy, gelatinous drop-like,  "		Eye
"corneal dystrophy, juvenile epithelial of meesmann"	Eye Diseases	"Meesmann corneal dystrophy,  "		Eye
